Product,Profile,Reason,Share
Verodus Instant,Pro,p1_time_abandon,0.089
Verodus Instant,Pro,p1_max_dd,0.147
Verodus Instant,Pro,post_m1,0.301
Verodus Instant,Pro,post_m3,0.129
Verodus Instant,Pro,p1_rule_violation,0.002
Verodus Instant,Pro,post_m12,0.089
Verodus Instant,Semi-skilled,p1_max_dd,0.304
Verodus Instant,Semi-skilled,post_m1,0.254
Verodus Instant,Semi-skilled,post_m12,0.059
Verodus Instant,Semi-skilled,post_m3,0.092
Verodus Instant,Semi-skilled,p1_time_abandon,0.101
Verodus Instant,Semi-skilled,p1_rule_violation,0.006
Verodus Instant,Semi-skilled,p1_daily_dd,0.002
Verodus Instant,Average,p1_max_dd,0.666
Verodus Instant,Average,p1_time_abandon,0.136
Verodus Instant,Average,post_m3,0.023
Verodus Instant,Average,p1_daily_dd,0.04
Verodus Instant,Average,p1_rule_violation,0.011
Verodus Instant,Average,post_m1,0.055
Verodus Instant,Average,post_m12,0.013
Verodus Instant,Aggressive,p1_daily_dd,0.988
Verodus Instant,Aggressive,p1_max_dd,0.011
Verodus Instant,Aggressive,p1_rule_violation,0.001
Verodus Instant,Lottery,p1_daily_dd,0.841
Verodus Instant,Lottery,p1_max_dd,0.159
Verodus 1-Step,Pro,p1_max_dd,0.32
Verodus 1-Step,Pro,p1_time_abandon,0.166
Verodus 1-Step,Pro,post_m1,0.162
Verodus 1-Step,Pro,funded_kyc_drop,0.061
Verodus 1-Step,Pro,post_m12,0.033
Verodus 1-Step,Pro,post_m3,0.076
Verodus 1-Step,Pro,funded_time_abandon,0.013
Verodus 1-Step,Pro,funded_max_dd,0.027
Verodus 1-Step,Pro,p1_rule_violation,0.002
Verodus 1-Step,Pro,funded_rule_violation,0.001
Verodus 1-Step,Semi-skilled,post_m1,0.102
Verodus 1-Step,Semi-skilled,p1_time_abandon,0.152
Verodus 1-Step,Semi-skilled,p1_max_dd,0.523
Verodus 1-Step,Semi-skilled,funded_kyc_drop,0.051
Verodus 1-Step,Semi-skilled,funded_max_dd,0.033
Verodus 1-Step,Semi-skilled,post_m3,0.034
Verodus 1-Step,Semi-skilled,post_m12,0.017
Verodus 1-Step,Semi-skilled,funded_time_abandon,0.007
Verodus 1-Step,Semi-skilled,p1_rule_violation,0.009
Verodus 1-Step,Average,p1_max_dd,0.728
Verodus 1-Step,Average,p1_time_abandon,0.176
Verodus 1-Step,Average,post_m1,0.014
Verodus 1-Step,Average,funded_max_dd,0.028
