Plan,Size,N,Sale,List,Addon_rev,Addon_left,Sug_addon_left,Challenge_left,Blended,Sug_blended,Book_chal,Book_add,Book_blend,Book_sug
Instant,5000,15,49,75,5.1610000000000005,2.649203981905024,3.4916039819050244,6.273257619539706,8.92246160144473,9.76486160144473,94.09886429309559,39.73805972857536,133.83692402167097,146.47292402167096
Instant,10000,25,69,106,7.332000000000001,2.906407963810046,4.123207963810047,6.226192156713566,9.132600120523612,10.349400120523612,155.65480391783916,72.66019909525116,228.31500301309032,258.7350030130903
Instant,25000,28,139,214,14.898,4.520419909525118,6.860419909525119,14.084995768235146,18.605415677760263,20.945415677760266,394.3798815105841,126.5717574667033,520.9516389772873,586.4716389772875
Instant,50000,18,239,368,25.532000000000004,5.629639819050235,9.748039819050234,13.849668454104489,19.47930827315472,23.597708273154723,249.2940321738808,101.33351674290422,350.627548916785,424.758748916785
Instant,100000,12,439,675,46.813,7.858479638100469,15.440079638100471,13.379013825843117,21.237493463943586,28.819093463943588,160.5481659101174,94.30175565720563,254.84992156732304,345.82912156732306
1-Step,5000,8,36,55,3.237,2.423119878629909,2.423119878629909,2.095050722118838,4.518170600748747,4.518170600748747,16.760405776950705,19.384959029039273,36.14536480598998,36.14536480598998
1-Step,10000,14,60,92,5.564,4.118239757259819,4.118239757259819,14.272074288513153,18.39031404577297,18.39031404577297,199.80904003918414,57.65535660163747,257.4643966408216,257.4643966408216
1-Step,25000,18,120,185,11.036999999999999,7.997199393149548,7.997199393149548,41.20314498769609,49.20034438084564,49.20034438084564,741.6566097785296,143.94958907669186,885.6061988552216,885.6061988552216
1-Step,50000,14,193,297,17.719,12.510398786299096,12.510398786299096,64.48826281966768,76.99866160596677,76.99866160596677,902.8356794753475,175.14558300818734,1077.981262483535,1077.981262483535
1-Step,100000,10,335,515,30.732,21.25599757259819,21.25599757259819,107.85849848361082,129.11449605620902,129.11449605620902,1078.584984836108,212.5599757259819,1291.14496056209,1291.14496056209
1-Step,200000,3,654,1006,59.995000000000005,41.336795145196376,41.336795145196376,222.59896981149717,263.93576495669356,263.93576495669356,667.7969094344915,124.01038543558913,791.8072948700807,791.8072948700807
2-Step Lite,5000,10,42,65,2.834,2.120990898424014,2.120990898424014,2.1683995619355443,4.289390460359558,4.289390460359558,21.683995619355443,21.209908984240137,42.89390460359557,42.89390460359557
2-Step Lite,10000,18,55,85,3.6335000000000006,2.6143817968480274,2.6143817968480274,3.6210678947878847,6.235449691635912,6.235449691635912,65.17922210618192,47.0588723432645,112.23809444944642,112.23809444944642
2-Step Lite,25000,22,94,145,6.233500000000001,4.255754492120069,4.255754492120069,7.979072893344906,12.234827385464975,12.234827385464975,175.53960365358793,93.62659882664151,269.16620248022946,269.16620248022946
2-Step Lite,50000,16,149,229,9.763000000000002,6.348308984240137,6.348308984240137,7.242414557606608,13.590723541846746,13.590723541846746,115.87863292170573,101.57294374784219,217.45157666954793,217.45157666954793
2-Step Lite,100000,12,269,414,17.7515,11.277017968480274,11.277017968480274,13.769097886130027,25.0461158546103,25.0461158546103,165.22917463356032,135.3242156217633,300.5533902553236,300.5533902553236
2-Step Lite,200000,4,499,768,32.825,20.41163593696055,20.41163593696055,18.822464543176864,39.234100480137414,39.234100480137414,75.28985817270745,81.6465437478422,156.93640192054966,156.93640192054966
2-Step Pro,5000,6,45,69,5.148000000000001,3.8559661521036914,3.8559661521036914,5.612847612342026,9.468813764445718,9.468813764445718,33.67708567405216,23.135796912622148,56.812882586674306,56.812882586674306
2-Step Pro,10000,12,59,91,6.89,4.987132304207383,4.987132304207383,7.9758653533870785,12.96299765759446,12.96299765759446,95.71038424064494,59.845587650488596,155.55597189113354,155.55597189113354
2-Step Pro,25000,16,95,146,11.102000000000002,7.569430760518458,7.569430760518458,10.264918576522234,17.834349337040692,17.834349337040692,164.23869722435575,121.11089216829532,285.34958939265107,285.34958939265107
2-Step Pro,50000,14,159,245,18.72,12.351661521036911,12.351661521036911,17.2800072817475,29.63166880278441,29.63166880278441,241.92010194446502,172.92326129451675,414.84336323898174,414.84336323898174
2-Step Pro,100000,10,289,445,33.956,21.91612304207382,21.91612304207382,32.910184692198044,54.826307734271865,54.826307734271865,329.10184692198044,219.1612304207382,548.2630773427186,548.2630773427186
2-Step Pro,200000,5,577,888,67.652,43.62424608414764,43.62424608414764,86.5705395130991,130.19478559724675,130.19478559724675,432.85269756549553,218.12123042073821,650.9739279862338,650.9739279862338
